category,image_url,number_of_product_in_a_package,price_gross,price_net,product_title,product_url,quantity_in_stock,size,status
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/black-18.jpg,,"59,66","48,50",NB537 BLACK,https://e-roberto.eu/sklep/nb537-black/,960,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0475-600x600.jpg,,"34,44","28,00",F44 BLACK,https://e-roberto.eu/sklep/f44-black/,120,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/beige2-1.jpg,,"59,66","48,50",NB537 BEIGE,https://e-roberto.eu/sklep/nb537-beige/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACK-14.jpg,,"48,59","39,50",7897 BLACK,https://e-roberto.eu/sklep/7897-black/,936,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/DSC_0477-600x600.jpg,,"34,44","28,00",F44 KHAKI,https://e-roberto.eu/sklep/f44-khaki/,1200,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/pol_pl_Botki-damskie-Sixth-Sens-C685-SU-Czarne-2522_1.jpg,,"48,59","39,50",TX-1873 BLACK,https://e-roberto.eu/sklep/tx-1873-black/,948,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/DSC_0487-600x600.jpg,,"20,29","16,50",WB806 ORANGE,https://e-roberto.eu/sklep/wb806-orange/,324,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/UINE.jpg,,"51,66","42,00",UB07 WINE,https://e-roberto.eu/sklep/ub07-wine/,552,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/IMG_0930.jpg,,"44,9","36,50",TCYR-76 KHAKI,https://e-roberto.eu/sklep/tcyr-76-khaki/,252,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/IMG_1041-1-600x600.jpg,,"36,28","29,50",PG06 BLACK,https://e-roberto.eu/sklep/pg06-black/,1776,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/1111111-600x601.jpg,,"38,74","31,50",85-751 BEIGE,https://e-roberto.eu/sklep/85-751-beige/,480,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/IMG_0928-2-600x600.jpg,,"36,28","29,50",AB630 WH/RED/BLUE,https://e-roberto.eu/sklep/ab630-wh/red/blue/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/16-508-7.jpg,,"38,74","31,50",85-751 BLACK,https://e-roberto.eu/sklep/85-751-black/,480,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/navy.jpg,,"51,66","42,00",UB07 NAVY,https://e-roberto.eu/sklep/ub07-navy/,564,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/image_ded48e0f-557b-494a-b74d-6cc614e46c02_1349x1800.jpg,,"36,28","29,50",JT902 WHITE,https://e-roberto.eu/sklep/jt902-white/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/image_95c126b7-d487-49e4-9cd6-730fce1233a3_1000x.jpg,,"38,74","31,50",F071 BEIGE,https://e-roberto.eu/sklep/f071-beige/,360,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2021-12-30_17-07-19-486.jpg,,"47,97","39,00",NB528 PINK,https://e-roberto.eu/sklep/nb528-pink/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2021-12-30_17-07-16-771.jpg,,"47,97","39,00",NB528 BEIGE,https://e-roberto.eu/sklep/nb528-beige/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/02/IMG_0913-1.jpg,,"44,9","36,50",TCYR-76 PINK,https://e-roberto.eu/sklep/tcyr-76-pink/,252,,
,,,,,,,0,,
,,,,,,,0,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-08_10-54-59-624.jpg,,"94,71","77,00",JJ09 GREEN,https://e-roberto.eu/sklep/jj09-green/,588,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-101.jpg,,"32,6","26,50",2033 PINK,https://e-roberto.eu/sklep/2033-pink/,240,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2021-12-30_17-07-17-722.jpg,,"47,97","39,00",NB528 WHITE,https://e-roberto.eu/sklep/nb528-white/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2021/10/buty-wolka-31.jpg,,"38,74","31,50",AD422 KHAKI,https://e-roberto.eu/sklep/ad422-khaki/,180,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/anh_Viber_2022-04-07_16-46-04-505.jpg,,"94,71","77,00",JJ09 GREY,https://e-roberto.eu/sklep/jj09-grey/,564,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/04/IMG_3454-600x600.jpg,,"94,71","77,00",JJ09 WHITE,https://e-roberto.eu/sklep/jj09-white/,588,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BLACKKKKKKKKK.jpg,,"75,03","61,00",NC1113 BLACK,https://e-roberto.eu/sklep/nc1113-black/,960,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/11/528170-large.jpg,,"75,03","61,00",NC1167 BLACK,https://e-roberto.eu/sklep/nc1167-black/,360,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/01/anh_Viber_2021-12-30_17-07-17-206.jpg,,"47,97","39,00",NB528 BLACK,https://e-roberto.eu/sklep/nb528-black/,600,,
SPORTOWE,https://e-roberto.eu/wp-content/uploads/2022/03/pol_pm_Buty-sportowe-skarpetkowe-UTTO-WHITE-30347_5.jpg,,"27,68","22,50",BZ-6 WHITE,https://e-roberto.eu/sklep/bz-6-white/,552,,
BOTKI,https://e-roberto.eu/wp-content/uploads/2021/10/BEIGE-15.jpg,,"105,78","86,00",RB132 BEIGE,https://e-roberto.eu/sklep/rb132-beige/,960,,
